zone,annee,semestre,semestre_annee,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_36.0_-7.5,2025,1,2025-S1,Augmentation,49.3,49.3,37.5,13.2,Augmentation,True
z_36.0_-7.5,2025,2,2025-S2,Augmentation,68.7,68.7,20.9,10.3,Diminution,False
z_36.0_-9.0,2023,1,2023-S1,Diminution,49.0,29.0,49.0,22.0,Augmentation,False
z_36.0_-9.0,2023,2,2023-S2,Diminution,40.9,37.0,40.9,22.1,Augmentation,False
z_36.0_-9.0,2024,1,2024-S1,Augmentation,55.7,55.7,26.5,17.9,Augmentation,True
z_36.0_-9.0,2024,2,2024-S2,Augmentation,55.4,55.4,28.4,16.2,Augmentation,True
z_36.0_-9.0,2025,1,2025-S1,Augmentation,57.6,57.6,30.6,11.8,Stable,False
z_36.0_-9.0,2025,2,2025-S2,Augmentation,45.8,45.8,40.6,13.7,Stable,False
z_36.0_0.0,2023,1,2023-S1,Stable,71.6,24.7,3.7,71.6,Stable,True
z_36.0_0.0,2023,2,2023-S2,Stable,83.1,13.9,3.0,83.1,Stable,True
z_36.0_0.0,2024,1,2024-S1,Stable,94.4,2.8,2.8,94.4,Stable,True
z_36.0_0.0,2024,2,2024-S2,Stable,95.3,2.4,2.3,95.3,Stable,True
z_36.0_0.0,2025,1,2025-S1,Stable,75.5,23.0,1.5,75.5,Stable,True
z_36.0_0.0,2025,2,2025-S2,Stable,81.1,15.4,3.5,81.1,Stable,True
z_36.0_10.5,2023,1,2023-S1,Augmentation,65.2,65.2,5.7,29.1,Stable,False
z_36.0_10.5,2023,2,2023-S2,Diminution,55.0,24.2,55.0,20.7,Stable,False
z_36.0_10.5,2024,1,2024-S1,Augmentation,58.3,58.3,6.7,35.0,Stable,False
z_36.0_10.5,2024,2,2024-S2,Diminution,48.3,30.3,48.3,21.4,Stable,False
z_36.0_10.5,2025,1,2025-S1,Stable,47.5,41.3,11.2,47.5,Stable,True
z_36.0_10.5,2025,2,2025-S2,Diminution,60.5,14.9,60.5,24.6,Stable,False
z_36.0_12.0,2023,1,2023-S1,Diminution,39.4,32.6,39.4,28.0,Stable,False
z_36.0_12.0,2023,2,2023-S2,Diminution,53.0,22.7,53.0,24.3,Stable,False
z_36.0_12.0,2024,1,2024-S1,Diminution,47.5,25.2,47.5,27.3,Stable,False
z_36.0_12.0,2024,2,2024-S2,Diminution,44.0,36.2,44.0,19.8,Augmentation,False
z_36.0_12.0,2025,1,2025-S1,Augmentation,39.2,39.2,38.4,22.4,Stable,False
z_36.0_12.0,2025,2,2025-S2,Diminution,40.9,37.1,40.9,22.0,Stable,False
z_36.0_13.5,2023,1,2023-S1,Diminution,49.7,39.2,49.7,11.1,Augmentation,False
z_36.0_13.5,2023,2,2023-S2,Augmentation,70.8,70.8,19.4,9.8,Diminution,False
