zone,annee,trimestre,trimestre_annee,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_34.5_24.0,2024,1,2024-T1,Augmentation,55.6,55.6,17.9,26.5,Stable,False
z_34.5_24.0,2024,2,2024-T2,Augmentation,48.7,48.7,21.1,30.2,Augmentation,True
z_34.5_24.0,2024,3,2024-T3,Augmentation,43.2,43.2,21.9,34.9,Diminution,False
z_34.5_24.0,2024,4,2024-T4,Augmentation,62.8,62.8,16.5,20.7,Diminution,False
z_34.5_24.0,2025,1,2025-T1,Augmentation,55.3,55.3,17.8,26.9,Diminution,False
z_34.5_24.0,2025,2,2025-T2,Augmentation,40.4,40.4,21.6,38.0,Diminution,False
z_34.5_24.0,2025,3,2025-T3,Augmentation,50.4,50.4,21.5,28.2,Stable,False
z_34.5_24.0,2025,4,2025-T4,Augmentation,59.8,59.8,15.7,24.6,Diminution,False
z_34.5_25.5,2023,1,2023-T1,Stable,50.8,11.3,37.9,50.8,Diminution,False
z_34.5_25.5,2023,2,2023-T2,Diminution,75.9,10.8,75.9,13.3,Stable,False
z_34.5_25.5,2023,3,2023-T3,Stable,50.0,17.3,32.6,50.0,Augmentation,False
z_34.5_25.5,2023,4,2023-T4,Stable,45.2,24.9,29.9,45.2,Diminution,False
